Title,Director,Cast,genres,combo
arddhanaari,bhanushanker chowdary,arjun yajath mouryaani,Thriller,arddhanaari bhanushanker chowdary arjun yajath mouryaani Thriller
rojulu marayi,murali krishna mudidani,chethan parwatheesham kruthika jayakumar tejaswini raja ravindra,Comedy Drama Romance,rojulu marayi murali krishna mudidani chethan parwatheesham kruthika jayakumar tejaswini raja ravindra Comedy Drama Romance
antham,gssp kalyan,rashmi gautam charandeep,un_known,antham gssp kalyan rashmi gautam charandeep un_known
iddaram,sudhakar vinukonda,sanjeev sai krupa,un_known,iddaram sudhakar vinukonda sanjeev sai krupa un_known
selfie raja,g. eshwar reddy,allari naresh sakshi chaudhary kamna jethmalani saptagiri,Comedy,selfie raja g. eshwar reddy allari naresh sakshi chaudhary kamna jethmalani saptagiri Comedy
nayaki,goverdhan reddy,trisha ganesh venkatraman,Comedy Horror,nayaki goverdhan reddy trisha ganesh venkatraman Comedy Horror
pelli choopulu,tharun bhascker dhaassyam,vijay deverakonda ritu varma,Romance Comedy,pelli choopulu tharun bhascker dhaassyam vijay deverakonda ritu varma Romance Comedy
jakkanna,vamshi krishna akella,sunil mannara chopra kabir duhan singh posani krishna murali,Action Romance,jakkanna vamshi krishna akella sunil mannara chopra kabir duhan singh posani krishna murali Action Romance
manamantha,chandra sekhar yeleti,mohanlal gouthami viswant duddumpudi anisha ambrose s. p. balasubrahmanyam,Drama Family Thriller,manamantha chandra sekhar yeleti mohanlal gouthami viswant duddumpudi anisha ambrose s. p. balasubrahmanyam Drama Family Thriller
srirastu subhamastu,parasuram,allu sirish lavanya tripathi prakash raj sumalatha rao ramesh sumithra subbaraju,un_known,srirastu subhamastu parasuram allu sirish lavanya tripathi prakash raj sumalatha rao ramesh sumithra subbaraju un_known
babu bangaram,maruthi dasari,venkatesh nayanthara,Action Comedy Romance,babu bangaram maruthi dasari venkatesh nayanthara Action Comedy Romance
bommala ramaram,nishanth pudhari,soori roopa reddy priyadarshi pullikonda thiruveer,un_known,bommala ramaram nishanth pudhari soori roopa reddy priyadarshi pullikonda thiruveer un_known
thikka,sunil reddy,sai dharam tej mannara chopra rajendra prasad,Romance Action,thikka sunil reddy sai dharam tej mannara chopra rajendra prasad Romance Action
aatadukundam raa,g. nageswara reddy,sushanth sonam bajwa,un_known,aatadukundam raa g. nageswara reddy sushanth sonam bajwa un_known
chuttalabbai,veerabhadram chowdary,aadi namitha pramod,un_known,chuttalabbai veerabhadram chowdary aadi namitha pramod un_known
banthi poola janaki,nellutla praveen chander,dhanraj diksha panth sudheer chandra,un_known,banthi poola janaki nellutla praveen chander dhanraj diksha panth sudheer chandra un_known
avasaraniko abaddam,suresh kv,lokesh rajesh shashank geethanjali,un_known,avasaraniko abaddam suresh kv lokesh rajesh shashank geethanjali un_known
janatha garage,koratala siva,mohanlal jr. ntr samantha ruth prabhu nithya menon,un_known,janatha garage koratala siva mohanlal jr. ntr samantha ruth prabhu nithya menon un_known
jyo achyutananda,srinivas avasarala,nara rohit naga shourya regina cassandra,Family Drama Comedy Romance,jyo achyutananda srinivas avasarala nara rohit naga shourya regina cassandra Family Drama Comedy Romance
hora hori,teja,dileep reddy daksha nagarkar,un_known,hora hori teja dileep reddy daksha nagarkar un_known
nirmala convent,g. naga koteshwar rao,roshan meka shriya sharma akkineni nagarjuna,Romance,nirmala convent g. naga koteshwar rao roshan meka shriya sharma akkineni nagarjuna Romance
siddhartha,k v dayanand reddy,sagar sakshi chaudhary kota srinivasa rao,Drama Mystery,siddhartha k v dayanand reddy sagar sakshi chaudhary kota srinivasa rao Drama Mystery
majnu,virinchi varma,nani anu emmanuel,Drama Romance,majnu virinchi varma nani anu emmanuel Drama Romance
hyper,santosh srinivas,ram pothineni raashi khanna sathyaraj rao ramesh,Action,hyper santosh srinivas ram pothineni raashi khanna sathyaraj rao ramesh Action
