index,Title,Director,Cast,genres,combo
1075,savaari,saahith mothkuri,Nandu Priyanka Sharma Srikanth Reddy Ganta Shiva Kumar Maddy,Drama Romance,savaari saahith mothkuri Nandu Priyanka Sharma Srikanth Reddy Ganta Shiva Kumar Maddy Drama Romance
1076,degree college,narasimha nandi,Varun Sri Divya Duvvasi Mohan Jayavani Srinivas Madan RK,Drama Romance Thriller,degree college narasimha nandi Varun Sri Divya Duvvasi Mohan Jayavani Srinivas Madan RK Drama Romance Thriller
1077,neevalle nenunna,saibaba. m,Surya Sreenivas Sri Pallavi Sudharshan Ram Prasad Anish Kuruvilla,Drama Romance,neevalle nenunna saibaba. m Surya Sreenivas Sri Pallavi Sudharshan Ram Prasad Anish Kuruvilla Drama Romance
1078,world famous lover,kranthi madhav,Vijay Deverakonda Raashi Khanna Catherine Tresa Aishwarya Rajesh Izabelle Leite,Romance Drama,world famous lover kranthi madhav Vijay Deverakonda Raashi Khanna Catherine Tresa Aishwarya Rajesh Izabelle Leite Romance Drama
1079,oka chinna viramam,sundeep cheguri,Punarnavi Bhupalam Sanjay Varma Naveen Neni Garima Singh,Drama Thriller,oka chinna viramam sundeep cheguri Punarnavi Bhupalam Sanjay Varma Naveen Neni Garima Singh Drama Thriller
1080,shiva 143,sagar sailesh,Sagar Sailesh Yeisha Adaraha Hrithika singh D.S.Rao,Drama Romance,shiva 143 sagar sailesh Sagar Sailesh Yeisha Adaraha Hrithika singh D.S.Rao Drama Romance
1081,life anubavinchu raja,suresh thirumur,Raviteja Sravani Nikki Shruti Shetty,Drama Romance Comedy,life anubavinchu raja suresh thirumur Raviteja Sravani Nikki Shruti Shetty Drama Romance Comedy
1082,bheeshma,venky kudumula,Nithin Rashmika Mandanna Anant Nag Jisshu Sengupta Vennela Kishore Sampath Raj Ajay Naresh Praveena Brahmaji,Romance Drama,bheeshma venky kudumula Nithin Rashmika Mandanna Anant Nag Jisshu Sengupta Vennela Kishore Sampath Raj Ajay Naresh Praveena Brahmaji Romance Drama
1083,pressure cooker,sujoi & sushil,Sai Ronak Preethi Asrani Rahul Ramakrishna Rajai Rowan Tanikella Bharani Ravi Varma C.V.L. Narasimha Rao,Documentary,pressure cooker sujoi & sushil Sai Ronak Preethi Asrani Rahul Ramakrishna Rajai Rowan Tanikella Bharani Ravi Varma C.V.L. Narasimha Rao Documentary
1084,valayam,ramesh kadumula,Laksh Chadalavada Digangana Suryavanshi,un_known,valayam ramesh kadumula Laksh Chadalavada Digangana Suryavanshi un_known
1085,cheema prema madhyalo bhaama,srikanth 'sri' appalaraju,Amith Indhu Cherukuri,Drama Romance Fantasy Family,cheema prema madhyalo bhaama srikanth 'sri' appalaraju Amith Indhu Cherukuri Drama Romance Fantasy Family
1086,raahu,subbu vedula,Kriti Garg AbeRaam Varma Chalaki Chanti kalikeya Prabhakar,Crime Drama Thriller,raahu subbu vedula Kriti Garg AbeRaam Varma Chalaki Chanti kalikeya Prabhakar Crime Drama Thriller
1087,hit: the first case,dr sailesh kolanu,Vishwak Sen Ruhani Sharma Brahmaji Hari Teja Murli Sharma Bhanu Chander Ravi Varma,Action Drama Thriller,hit: the first case dr sailesh kolanu Vishwak Sen Ruhani Sharma Brahmaji Hari Teja Murli Sharma Bhanu Chander Ravi Varma Action Drama Thriller
1088,swecha,kpn chawhan,Mangli Chammak Chandra,un_known,swecha kpn chawhan Mangli Chammak Chandra un_known
1089,college kumar,hari santhosh,Rajendra Prasad Rahul Vijay Priya Vadlamani Madhubala Nassar Manobala,Comedy Drama,college kumar hari santhosh Rajendra Prasad Rahul Vijay Priya Vadlamani Madhubala Nassar Manobala Comedy Drama
1090,palasa 1978,karuna kumar,Rakshit Nakshatra Raghu Kunche Thiruveer Laxman Meesala,Action Crime Drama,palasa 1978 karuna kumar Rakshit Nakshatra Raghu Kunche Thiruveer Laxman Meesala Action Crime Drama
1091,o pitta katha,chandu muddu,Viswant Duddumpudi Sanjay Rao Nithya Shetty Brahmaji,Romance Thriller,o pitta katha chandu muddu Viswant Duddumpudi Sanjay Rao Nithya Shetty Brahmaji Romance Thriller
1092,anukunnadi okkati ayyandhi okati,baalu adusumilli,Dhanya Balakrishna Komalee Prasad Siddhi Idnani Tridha Choudhury Raghu Babu Himaja Raghu Karumanchi Sameer Hasan,un_known,anukunnadi okkati ayyandhi okati baalu adusumilli Dhanya Balakrishna Komalee Prasad Siddhi Idnani Tridha Choudhury Raghu Babu Himaja Raghu Karumanchi Sameer Hasan un_known
1093,screenplay of an indian love story,k l prasad,Pragathi Yadhati Vikram Shiva,Drama Romance,screenplay of an indian love story k l prasad Pragathi Yadhati Vikram Shiva Drama Romance
1094,madha,srividya basawa,Trishna Mukherjee Venkat Rahul Anish Kuruvilla Bikramjeet Kanwarpal,Mystery Thriller,madha srividya basawa Trishna Mukherjee Venkat Rahul Anish Kuruvilla Bikramjeet Kanwarpal Mystery Thriller
1095,arjuna,kanmani,Rajasekhar Maryam Zakaria,Romance Thriller,arjuna kanmani Rajasekhar Maryam Zakaria Romance Thriller
1096,amrutharamam,surender kontadi,Amitha Ranganath Ram Mittakanti,un_known,amrutharamam surender kontadi Amitha Ranganath Ram Mittakanti un_known
1097,run,lakshmikanth chenna,Navdeep Pujita Ponnada,Thriller Horror Drama,run lakshmikanth chenna Navdeep Pujita Ponnada Thriller Horror Drama
1098,penguin,eashvar karthic,Keerthy Suresh Linga Madhampatty Rangaraj,Drama,penguin eashvar karthic Keerthy Suresh Linga Madhampatty Rangaraj Drama
1099,krishna and his leela,ravikanth perepu,Siddu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti,un_known,krishna and his leela ravikanth perepu Siddu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti un_known
1100,47 days,pradeep maddali,Satyadev Kancharana Pooja Jhaveri,Action Drama Mystery Thriller,47 days pradeep maddali Satyadev Kancharana Pooja Jhaveri Action Drama Mystery Thriller
1101,bhanumathi & ramakrishna,srikanth nagothi,Naveen Chandra Salony Luthra,Comedy Drama Romance,bhanumathi & ramakrishna srikanth nagothi Naveen Chandra Salony Luthra Comedy Drama Romance
1102,uma maheswara ugra roopasya,venkatesh maha,Satyadev Kancharana Naresh Suhas Raghavan Hari Chandana Roopa Koduvayur Ravindra Vijay Jabardasth Ramprasad TNR,Comedy Drama,uma maheswara ugra roopasya venkatesh maha Satyadev Kancharana Naresh Suhas Raghavan Hari Chandana Roopa Koduvayur Ravindra Vijay Jabardasth Ramprasad TNR Comedy Drama
1103,johaar,teja marni,Esther Anil Ankith Koyya Naina Ganguly Easwari Rao Subhalekha Sudhakar,Drama,johaar teja marni Esther Anil Ankith Koyya Naina Ganguly Easwari Rao Subhalekha Sudhakar Drama
1104,buchinaidu khandriga,poluru krishna,Drishika Chander Ravi Varma,un_known,buchinaidu khandriga poluru krishna Drishika Chander Ravi Varma un_known
1105,v,mohan krishna indraganti,Nani Sudheer Babu Nivetha Thomas Aditi Rao Hydari Vennela Kishore,Drama Action History,v mohan krishna indraganti Nani Sudheer Babu Nivetha Thomas Aditi Rao Hydari Vennela Kishore Drama Action History
1106,amaram akhilam prema,edwards jonathan,Vijay Ram Shivshakti Sachdev,Drama Romance,amaram akhilam prema edwards jonathan Vijay Ram Shivshakti Sachdev Drama Romance
1107,nishabdham,hemant madhukar,Anushka Shetty Madhavan Michael Madsen Anjali Subbaraju Shalini Pandey Srinivas Avasarala,Thriller Horror,nishabdham hemant madhukar Anushka Shetty Madhavan Michael Madsen Anjali Subbaraju Shalini Pandey Srinivas Avasarala Thriller Horror
1108,orey bujjiga,vijay kumar konda,Raj Tarun Malavika Nair Hebah Patel,Drama Romance,orey bujjiga vijay kumar konda Raj Tarun Malavika Nair Hebah Patel Drama Romance
1109,colour photo,sandeep raj,Suhas Chandini Chowdary Sunil,Drama Romance,colour photo sandeep raj Suhas Chandini Chowdary Sunil Drama Romance
1110,miss india,narendra nath,,Family Comedy Drama,
1111,gatham,kiran reddy,Bhargava Poludasu Rakesh Galebhe Poojitha Kuraparthi,Thriller,gatham kiran reddy Bhargava Poludasu Rakesh Galebhe Poojitha Kuraparthi Thriller
1112,maa vintha gaadha vinuma,aditya mandala,Siddu Jonnalagadda Seerat Kapoor Tanikella Bharani,Comedy Romance,maa vintha gaadha vinuma aditya mandala Siddu Jonnalagadda Seerat Kapoor Tanikella Bharani Comedy Romance
1113,anaganaga o athdhi,dayal padmanabhan,Chaitanya Krishna Payal Rajput,un_known,anaganaga o athdhi dayal padmanabhan Chaitanya Krishna Payal Rajput un_known
1114,middle class melodies,vinod ananthoju,Anand Devarakonda Varsha Bollamma,Comedy Drama Romance,middle class melodies vinod ananthoju Anand Devarakonda Varsha Bollamma Comedy Drama Romance
1115,meka suri 2,trinadh velisala,Abhinay Reddy Syed Sumaya Farahath,Crime Thriller,meka suri 2 trinadh velisala Abhinay Reddy Syed Sumaya Farahath Crime Thriller
1116,bombhaat,raghavendra varma,Chandini Chowdary Sai Sushanth Reddy Simran Choudhary,Action Drama Science Fiction,bombhaat raghavendra varma Chandini Chowdary Sai Sushanth Reddy Simran Choudhary Action Drama Science Fiction
1117,iit krishnamurthy,sree vardhan,Dandamudi Pruthvi Maira Doshi Anand Satya,un_known,iit krishnamurthy sree vardhan Dandamudi Pruthvi Maira Doshi Anand Satya un_known
1118,guvva gorinka,bammidi mohan,Satyadev Kancharana Priyaa Lal Chaitanya Madhumita,Romance,guvva gorinka bammidi mohan Satyadev Kancharana Priyaa Lal Chaitanya Madhumita Romance
1119,dirty hari,m. s. raju,Shravan Reddy Ruhani Sharma Ajay,Thriller Romance,dirty hari m. s. raju Shravan Reddy Ruhani Sharma Ajay Thriller Romance
1120,murder,anand chandra,Avancha Sahiti Krishnaswamy Srikanth,Drama Horror,murder anand chandra Avancha Sahiti Krishnaswamy Srikanth Drama Horror
1121,solo brathuke so better,subbu,Sai Dharam Tej Nabha Natesh Rajendra Prasad,Comedy Romance,solo brathuke so better subbu Sai Dharam Tej Nabha Natesh Rajendra Prasad Comedy Romance
1122,oka yodhudu,haari,,un_known,
1123,krack,gopichand malineni,Ravi Teja Shruti Haasan Varalaxmi Sarathkumar Samuthirakani P. Ravi Shankar Chirag Jani Devi Prasad Mouryani,un_known,krack gopichand malineni Ravi Teja Shruti Haasan Varalaxmi Sarathkumar Samuthirakani P. Ravi Shankar Chirag Jani Devi Prasad Mouryani un_known
1124,mail,uday gurrala,Priyadarshi Pulikonda Harshith Malgireddy Mani Aegurla Gouripriya Reddy Yennengee Ravinder Bommakanti Vannarn Srikanth Palle Anusha Netha,Comedy Romance,mail uday gurrala Priyadarshi Pulikonda Harshith Malgireddy Mani Aegurla Gouripriya Reddy Yennengee Ravinder Bommakanti Vannarn Srikanth Palle Anusha Netha Comedy Romance
1125,red,kishore tirumala,Ram Pothineni Nivetha Pethuraj Malvika Sharma Amritha Aiyer Sampath Raj Vennela Kishore Nassar Posani Krishna Murali Sonia Aggarwal Satya,Drama Thriller,red kishore tirumala Ram Pothineni Nivetha Pethuraj Malvika Sharma Amritha Aiyer Sampath Raj Vennela Kishore Nassar Posani Krishna Murali Sonia Aggarwal Satya Drama Thriller
