index,Title,Director,Cast,genres,combo
317,vichakshana,deepak nyathi,dheeraj padmini nandeeshwar goud jayapradha jayalakshmi surender goud padmajayanthi mukesh rizwan dharmender,un_known,vichakshana deepak nyathi dheeraj padmini nandeeshwar goud jayapradha jayalakshmi surender goud padmajayanthi mukesh rizwan dharmender un_known
318,hrudaya kaleyam,steven shankar,sampoornesh babu ishika singh kavya kumari,Comedy,hrudaya kaleyam steven shankar sampoornesh babu ishika singh kavya kumari Comedy
319,race gurram,surender reddy,allu arjun shruti hassan shaam ravi kishan prakash raj mukesh rishi brahmanandam,Comedy Action,race gurram surender reddy allu arjun shruti hassan shaam ravi kishan prakash raj mukesh rishi brahmanandam Comedy Action
320,laddu babu,ravi babu,allari naresh poorna bhumika chawla brahmanandam m. s. narayana ali,Comedy Drama Romance,laddu babu ravi babu allari naresh poorna bhumika chawla brahmanandam m. s. narayana ali Comedy Drama Romance
321,avatharam,kodi ramakrishna,richard rishi radhika kumaraswamy bhanupriya,Romance Action Thriller,avatharam kodi ramakrishna richard rishi radhika kumaraswamy bhanupriya Romance Action Thriller
322,prathighatana,tammareddy bharadwaja,charmy kaur reshma rathore raghu babu posani krishna murali krishna bhagawan,Action,prathighatana tammareddy bharadwaja charmy kaur reshma rathore raghu babu posani krishna murali krishna bhagawan Action
323,prabhanjanam,bhaskara rao vendrati,ajmal ameer sandesh aarushi panchi bora nassar kota srinivasa rao,un_known,prabhanjanam bhaskara rao vendrati ajmal ameer sandesh aarushi panchi bora nassar kota srinivasa rao un_known
324,chandamama kathalu,praveen sattaru,krishnudu lakshmi manchu chaitanya saikumar naresh,Drama,chandamama kathalu praveen sattaru krishnudu lakshmi manchu chaitanya saikumar naresh Drama
325,prathinidhi,prashanth mandava,nara rohit shubra aiyappa sree vishnu kota srinivasa rao jaya prakash reddy posani krishna murali ravi prakash,Drama,prathinidhi prashanth mandava nara rohit shubra aiyappa sree vishnu kota srinivasa rao jaya prakash reddy posani krishna murali ravi prakash Drama
326,galata,krishna,srinivas haripriya saikumar nagendra babu ali,un_known,galata krishna srinivas haripriya saikumar nagendra babu ali un_known
327,anaamika,sekhar kammula,nayantara vaibhav reddy pasupathy,Thriller,anaamika sekhar kammula nayantara vaibhav reddy pasupathy Thriller
328,kotha janta,maruthi,allu sirish regina cassandra posani krishna murali rao ramesh,Romance,kotha janta maruthi allu sirish regina cassandra posani krishna murali rao ramesh Romance
329,hrudaya kaleyam (re-released),steven shankar,sampoornesh babu ishika singh kavya kumari,un_known,hrudaya kaleyam (re-released) steven shankar sampoornesh babu ishika singh kavya kumari un_known
330,april fool,krishnaswamy srikanth iyengar,jagapati babu bhoomika chawla gulshan grover randhir reddy,Horror Mystery,april fool krishnaswamy srikanth iyengar jagapati babu bhoomika chawla gulshan grover randhir reddy Horror Mystery
331,pyar mein padipoyane,ravi kumar chavali,aadi shanvi srivastava,Romance,pyar mein padipoyane ravi kumar chavali aadi shanvi srivastava Romance
332,amrutham chandamamalo,gunnam gangaraju,srinivas avasarala harish vasu inturi sivanarayana dhanya balakrishna suchitra,un_known,amrutham chandamamalo gunnam gangaraju srinivas avasarala harish vasu inturi sivanarayana dhanya balakrishna suchitra un_known
333,manam,vikram kumar,akkineni nageswara rao akkineni nagarjuna akkineni naga chaitanya shriya saran samantha,Drama,manam vikram kumar akkineni nageswara rao akkineni nagarjuna akkineni naga chaitanya shriya saran samantha Drama
334,green signal,vijay maddhala,revanth shilpi sharma,un_known,green signal vijay maddhala revanth shilpi sharma un_known
335,prema geema jantha nai,subbu r. v.,sreeram chandra mannara chopra chalapathi rao bhanuchander,un_known,prema geema jantha nai subbu r. v. sreeram chandra mannara chopra chalapathi rao bhanuchander un_known
336,kamalatho naa prayanam,narasimha nandi,sivaji archana veda sastry,Drama,kamalatho naa prayanam narasimha nandi sivaji archana veda sastry Drama
337,ulavacharu biryani,prakash raj,prakash raj sneha urvashi samyuktha horanadu,Romance,ulavacharu biryani prakash raj prakash raj sneha urvashi samyuktha horanadu Romance
338,veedu chaala worst,venkat pampana,taraka ratna nandan neeraj swapna,un_known,veedu chaala worst venkat pampana taraka ratna nandan neeraj swapna un_known
339,jump jilani,e. satti babu,allari naresh isha chawla swathi deekshith posani krishna murali raghu babu,un_known,jump jilani e. satti babu allari naresh isha chawla swathi deekshith posani krishna murali raghu babu un_known
340,jabilli kosam akasamalle,raj narendra,sri hari anoop tej smrithika acharya,un_known,jabilli kosam akasamalle raj narendra sri hari anoop tej smrithika acharya un_known
341,oohalu gusagusalade,srinivas avasarala,naga shourya rashi khanna,Comedy Romance,oohalu gusagusalade srinivas avasarala naga shourya rashi khanna Comedy Romance
342,maine pyar kiya,pradeep madugula,pradeep ryan isha talwar madhumitha,Romance Drama,maine pyar kiya pradeep madugula pradeep ryan isha talwar madhumitha Romance Drama
343,autonagar surya,deva katta,naga chaitanya samantha ruth prabhu saikumar,Action Crime Thriller,autonagar surya deva katta naga chaitanya samantha ruth prabhu saikumar Action Crime Thriller
344,inka emi anukoleduu,sreekara babu,rahman deshpathi shreeraj archana,un_known,inka emi anukoleduu sreekara babu rahman deshpathi shreeraj archana un_known
345,ra ra... krishnayya,mahesh. p,sundeep kishan jagapathi babu regina cassandra kalyani tanikella bharani,Comedy Drama Romance,ra ra... krishnayya mahesh. p sundeep kishan jagapathi babu regina cassandra kalyani tanikella bharani Comedy Drama Romance
346,aa aiduguru,anil gurudu,siddharth raj asmita sood venkat tanishk reddy krishna teja posani krishna murali kota srinivasa rao babu mohan,un_known,aa aiduguru anil gurudu siddharth raj asmita sood venkat tanishk reddy krishna teja posani krishna murali kota srinivasa rao babu mohan un_known
347,drushyam,sripriya,venkatesh meena nadhiya naresh,Drama Thriller,drushyam sripriya venkatesh meena nadhiya naresh Drama Thriller
348,ice cream,ram gopal varma,navdeep tejaswi madivada,Comedy Horror,ice cream ram gopal varma navdeep tejaswi madivada Comedy Horror
349,alludu seenu,v.v. vinayak,bellamkonda sreenivas samantha prakash raj pradeep rawat brahmanandam,Action Comedy,alludu seenu v.v. vinayak bellamkonda sreenivas samantha prakash raj pradeep rawat brahmanandam Action Comedy
350,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
351,run raja run,sujeeth,sharwanand seerat kapoor adivi sesh sampath raj jayaprakash,Drama Crime Romance,run raja run sujeeth sharwanand seerat kapoor adivi sesh sampath raj jayaprakash Drama Crime Romance
352,adavi kaachina vennela,akki vishwanadha reddy,arvind krishna meenakshi dixit richard rishi pooja ramachandran,un_known,adavi kaachina vennela akki vishwanadha reddy arvind krishna meenakshi dixit richard rishi pooja ramachandran un_known
353,maaya,neelakanta,harshvardhan rane avanthika nagababu,Thriller,maaya neelakanta harshvardhan rane avanthika nagababu Thriller
354,gallo telinattunde,d. venkat suresh,ajay kousalya,un_known,gallo telinattunde d. venkat suresh ajay kousalya un_known
355,chatting,t.s.kamal,abhinaya krishna sunitha,un_known,chatting t.s.kamal abhinaya krishna sunitha un_known
356,galipatam,naveen gandhi,aadi erica fernandes kristina akheeva,Drama Romance Family,galipatam naveen gandhi aadi erica fernandes kristina akheeva Drama Romance Family
357,nuvvala nenila,trinadha rao nakkina,varun sandesh poorna,un_known,nuvvala nenila trinadha rao nakkina varun sandesh poorna un_known
358,janmasthanam,om sai prakash,sai kumar roopika pavani,un_known,janmasthanam om sai prakash sai kumar roopika pavani un_known
359,geethanjali,raj kiran,anjali brahmanandam srinivasa reddy,Horror Comedy,geethanjali raj kiran anjali brahmanandam srinivasa reddy Horror Comedy
360,lovers,harinath,sumanth ashwin nanditha,Action Adventure Science Fiction Romance,lovers harinath sumanth ashwin nanditha Action Adventure Science Fiction Romance
361,nee jathaga nenundali,jaya ravindra,sachiin j joshi nazia hussain rao ramesh,un_known,nee jathaga nenundali jaya ravindra sachiin j joshi nazia hussain rao ramesh un_known
362,kiraak,harik devabhakthuni,aniruddh chandini tamilarasan,Drama Action,kiraak harik devabhakthuni aniruddh chandini tamilarasan Drama Action
363,rabhasa,santosh srinivas,jr. ntr samantha ruth prabhu pranitha subhash brahmanandam sayaji shinde,Action Comedy,rabhasa santosh srinivas jr. ntr samantha ruth prabhu pranitha subhash brahmanandam sayaji shinde Action Comedy
364,boochamma boochodu,revan yadu,sivaji kainaz motivala brahmanandam posani krishna murali,un_known,boochamma boochodu revan yadu sivaji kainaz motivala brahmanandam posani krishna murali un_known
365,ganpati bappa morya,ramu kumar ask,srinadh rajasekhar mallesh riteesh,un_known,ganpati bappa morya ramu kumar ask srinadh rajasekhar mallesh riteesh un_known
366,raj mahal,appaji konda,suryanath sravan jeeva surya tarjan sandeepthi ria,un_known,raj mahal appaji konda suryanath sravan jeeva surya tarjan sandeepthi ria un_known
367,power,k. s. ravindra,ravi teja hansika regina cassandra brahmanandam prakash raj mukesh rishi sampath raj ajay subbaraju harish uthaman,Action Adventure Science Fiction,power k. s. ravindra ravi teja hansika regina cassandra brahmanandam prakash raj mukesh rishi sampath raj ajay subbaraju harish uthaman Action Adventure Science Fiction
368,boy friend leni ammayi unda,shiva nagu,bhavani agarwal mega supreme kanchana maitra,un_known,boy friend leni ammayi unda shiva nagu bhavani agarwal mega supreme kanchana maitra un_known
369,anukshanam,ram gopal varma,vishnu manchu navdeep tejaswi madivada madhu shalini revathi,Crime Drama Thriller,anukshanam ram gopal varma vishnu manchu navdeep tejaswi madivada madhu shalini revathi Crime Drama Thriller
370,aagadu,srinu vaitla,mahesh babu tamannaah sonu sood rajendra prasad ashish vidyarthi nassar brahmanandam,Action Comedy Drama,aagadu srinu vaitla mahesh babu tamannaah sonu sood rajendra prasad ashish vidyarthi nassar brahmanandam Action Comedy Drama
371,loukyam,sriwass,gopichand rakul preet singh brahmanandam mukesh rishi rahul dev sampath raj,Action Comedy Romance,loukyam sriwass gopichand rakul preet singh brahmanandam mukesh rishi rahul dev sampath raj Action Comedy Romance
372,govindudu andarivadele,krishna vamsi,ram charan kajal agarwal srikanth prakash raj,Drama Action,govindudu andarivadele krishna vamsi ram charan kajal agarwal srikanth prakash raj Drama Action
373,romeo,gopi ganesh,sairam shankar adonika ravi teja,Drama Romance,romeo gopi ganesh sairam shankar adonika ravi teja Drama Romance
374,pathasala,mahi v. raghav,nandu anu priya sirisha sai kiran shiva sashaank,un_known,pathasala mahi v. raghav nandu anu priya sirisha sai kiran shiva sashaank un_known
375,dikkulu choodaku ramayya,trikoti,naga shourya sana makbul ajay indraja,un_known,dikkulu choodaku ramayya trikoti naga shourya sana makbul ajay indraja un_known
376,oka laila kosam,vijay kumar konda,naga chaitanya pooja hegde,Romance Comedy Drama,oka laila kosam vijay kumar konda naga chaitanya pooja hegde Romance Comedy Drama
377,karthikeya,chandoo mondeti,nikhil siddharth swati reddy tanikella bharani rao ramesh kishore jayaprakash,Drama Family,karthikeya chandoo mondeti nikhil siddharth swati reddy tanikella bharani rao ramesh kishore jayaprakash Drama Family
378,current theega,nageshwara reddy,manchu manoj rakul preet singh jagapati babu,Action,current theega nageshwara reddy manchu manoj rakul preet singh jagapati babu Action
379,jaihind 2,arjun sarja,arjun sarja simran kapoor surveen chawla rahul dev,un_known,jaihind 2 arjun sarja arjun sarja simran kapoor surveen chawla rahul dev un_known
380,brother of bommali,b. chinni krishna,allari naresh karthika nair,un_known,brother of bommali b. chinni krishna allari naresh karthika nair un_known
381,joru,kumar nagendra,sundeep kishan rashi khanna priya banerjee brahmanandam sayaji shinde,un_known,joru kumar nagendra sundeep kishan rashi khanna priya banerjee brahmanandam sayaji shinde un_known
382,parampara,madhu mahankali,naresh aamani raavi kondala rao,Action Drama,parampara madhu mahankali naresh aamani raavi kondala rao Action Drama
383,poga,shankar marthand,navdeep madhu shalini,Animation Family,poga shankar marthand navdeep madhu shalini Animation Family
384,erra bus,dasari narayana rao,manchu vishnu catherine tresa brahmanandam dasari narayana rao,un_known,erra bus dasari narayana rao manchu vishnu catherine tresa brahmanandam dasari narayana rao un_known
385,pilla nuvvu leni jeevitham,a. s. ravi kumar chowdhary,sai dharam tej regina cassandra jagapati babu prakash raj sayaji shinde,un_known,pilla nuvvu leni jeevitham a. s. ravi kumar chowdhary sai dharam tej regina cassandra jagapati babu prakash raj sayaji shinde un_known
386,atreya,shanthikumar chilumula,aditya anuhya sri raj jeeva meenakshi,un_known,atreya shanthikumar chilumula aditya anuhya sri raj jeeva meenakshi un_known
387,ice cream 2,ram gopal varma,j. d. chakravarthy naveena tanikella bharani jeeva,Thriller Horror,ice cream 2 ram gopal varma j. d. chakravarthy naveena tanikella bharani jeeva Thriller Horror
388,rowdy fellow,krishna chaitanya,nara rohit vishakha singh nandini rai rao ramesh,Action Drama,rowdy fellow krishna chaitanya nara rohit vishakha singh nandini rai rao ramesh Action Drama
389,naa bangaaru talli,rajesh touchriver,siddique anjali patil lakshmi menon rathna shekar reddy,un_known,naa bangaaru talli rajesh touchriver siddique anjali patil lakshmi menon rathna shekar reddy un_known
390,33 prema kathalu,siva ganesh,vivek sunitha marasiar sravani,un_known,33 prema kathalu siva ganesh vivek sunitha marasiar sravani un_known
391,yamaleela 2,s. v. krishna reddy,dr.k.v.satish diah nicolas sadha mohan babu brahmanandam nisha kothari sayaji shinde ali ashish vidyarthi,un_known,yamaleela 2 s. v. krishna reddy dr.k.v.satish diah nicolas sadha mohan babu brahmanandam nisha kothari sayaji shinde ali ashish vidyarthi un_known
392,rough,c. h. subba reddy,aadi rakul preet singh srihari raghu babu,Drama Comedy,rough c. h. subba reddy aadi rakul preet singh srihari raghu babu Drama Comedy
393,ala ela,aneesh krishna,rahul ravindran bhanu sri mehra vennela kishore shaani salman khushi heebah patel,un_known,ala ela aneesh krishna rahul ravindran bhanu sri mehra vennela kishore shaani salman khushi heebah patel un_known
394,sri vasavi kanyaka parameswari charitra,sripada ramachandra rao,suman ramya krishna,un_known,sri vasavi kanyaka parameswari charitra sripada ramachandra rao suman ramya krishna un_known
395,chakkiligintha,vema reddy,sumanth ashwin rehana,Romance,chakkiligintha vema reddy sumanth ashwin rehana Romance
396,lakshmi raave maa intiki,nandyala ravi,naga shourya avika gor,un_known,lakshmi raave maa intiki nandyala ravi naga shourya avika gor un_known
397,the end,rahul sankrityan,yuva chandraa sudhir reddy gazal somaiah pavani reddy,Action Comedy,the end rahul sankrityan yuva chandraa sudhir reddy gazal somaiah pavani reddy Action Comedy
398,vundile manchi kalam mundu mundura,arun daasyam,sudhakar komakula avantika mohan,un_known,vundile manchi kalam mundu mundura arun daasyam sudhakar komakula avantika mohan un_known
399,choosinodiki choosinanta,anil vatupalli,sivaji nagendra babu leslie tripathy,un_known,choosinodiki choosinanta anil vatupalli sivaji nagendra babu leslie tripathy un_known
400,ee varsham sakshiga,ramana mogili,varun sandesh haripriya,Drama Romance,ee varsham sakshiga ramana mogili varun sandesh haripriya Drama Romance
401,saheba subramanyam,sasikiran naryana,dilip kumar priyanka gor rao ramesh,un_known,saheba subramanyam sasikiran naryana dilip kumar priyanka gor rao ramesh un_known
402,panchabhoothalu sakshiga,kalicharan maadina,kalicharan manashwini chitram srinu bindu,un_known,panchabhoothalu sakshiga kalicharan maadina kalicharan manashwini chitram srinu bindu un_known
403,o manishi katha,radha swamy avula,jagapati babu kalyani,un_known,o manishi katha radha swamy avula jagapati babu kalyani un_known
404,mukunda,srikanth addala,varun tej pooja hegde prakash raj,un_known,mukunda srikanth addala varun tej pooja hegde prakash raj un_known
405,chinnadana nee kosam,a. karunakaran,nithiin mishti nassar naresh sithara ali,Drama Romance,chinnadana nee kosam a. karunakaran nithiin mishti nassar naresh sithara ali Drama Romance
406,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
407,a shyam gopal varma film,rakesh srinivas,shafi zoya khan l. b. sriram jaya prakash reddy,un_known,a shyam gopal varma film rakesh srinivas shafi zoya khan l. b. sriram jaya prakash reddy un_known
408,mana kurralle,veera sankar,arvind krishna rachana malhotra krishnudu roopa kaur,un_known,mana kurralle veera sankar arvind krishna rachana malhotra krishnudu roopa kaur un_known
409,lava kusa,jaya sreesivan,varun sandesh richa panai,un_known,lava kusa jaya sreesivan varun sandesh richa panai un_known
410,gopala gopala,kishore kumar,venkatesh pawan kalyan shriya saran mithun chakraborthy,Comedy Romance Fantasy,gopala gopala kishore kumar venkatesh pawan kalyan shriya saran mithun chakraborthy Comedy Romance Fantasy
411,pataas,anil ravipudi,nandamuri kalyan ram shruti sodhi sai kumar ashutosh rana,Action Comedy,pataas anil ravipudi nandamuri kalyan ram shruti sodhi sai kumar ashutosh rana Action Comedy
412,beeruva,kanmani,sundeep kishan surabhi,Romance,beeruva kanmani sundeep kishan surabhi Romance
413,intelligent idiots,balaji sanala,posani krishna murali vikram shekar prabhjeet kaur sapthagiri,un_known,intelligent idiots balaji sanala posani krishna murali vikram shekar prabhjeet kaur sapthagiri un_known
414,top rankers,gollapati nageshwara rao,rajendra prasad sony charistha,un_known,top rankers gollapati nageshwara rao rajendra prasad sony charistha un_known
415,ladies & gentleman,p b manjunath,adivi sesh chaitanya krishna kamal kamaraju nikitha narayan,Comedy,ladies & gentleman p b manjunath adivi sesh chaitanya krishna kamal kamaraju nikitha narayan Comedy
416,o manasa,sahaja rao,ajay aparna bajpai,un_known,o manasa sahaja rao ajay aparna bajpai un_known
417,dorakadu,varaprasad,sivaji gayathri iyer suman ajay babu mohan,Action Adventure Drama History,dorakadu varaprasad sivaji gayathri iyer suman ajay babu mohan Action Adventure Drama History
418,gaddam gang,santhosh p. jayakumar,rajasekhar sheena shahabadi naresh seetha,Comedy Crime,gaddam gang santhosh p. jayakumar rajasekhar sheena shahabadi naresh seetha Comedy Crime
419,malli malli idi rani roju,kranthi madhav,sharwanand nithya menen tejaswi madivada nassar pavitra lokesh,Romance Comedy,malli malli idi rani roju kranthi madhav sharwanand nithya menen tejaswi madivada nassar pavitra lokesh Romance Comedy
420,moodu mukkallo cheppalante,madhumitha,rakendu mouli aditi chengappa venkatesh harinathan,un_known,moodu mukkallo cheppalante madhumitha rakendu mouli aditi chengappa venkatesh harinathan un_known
421,pesarattu,mahesh kathi,nandu nikitha narayan sampoornesh babu,un_known,pesarattu mahesh kathi nandu nikitha narayan sampoornesh babu un_known
422,temper,puri jagannadh,n. t. rama rao jr. kajal aggarwal prakash raj,un_known,temper puri jagannadh n. t. rama rao jr. kajal aggarwal prakash raj un_known
423,paddanandi premalo mari,mahesh upputuri,varun sandesh vithika sheru,Action Romance,paddanandi premalo mari mahesh upputuri varun sandesh vithika sheru Action Romance
424,bandipotu,mohan krishna indraganti,allari naresh eesha rebba srinivas avasarala rao ramesh tanikella bharani,Thriller Comedy Crime,bandipotu mohan krishna indraganti allari naresh eesha rebba srinivas avasarala rao ramesh tanikella bharani Thriller Comedy Crime
425,nuvvu nenu okatavudaam,p. narasimha reddy,ranjith swamy sana ali jaya prakash reddy,un_known,nuvvu nenu okatavudaam p. narasimha reddy ranjith swamy sana ali jaya prakash reddy un_known
426,gayakudu,kamal. g,ali reza shriya sharma santosh pawan m s narayana sapta giri,un_known,gayakudu kamal. g ali reza shriya sharma santosh pawan m s narayana sapta giri un_known
427,bham bolenath,karthik varma dandu,navdeep naveen chandra pooja jhaveri,Comedy Romance,bham bolenath karthik varma dandu navdeep naveen chandra pooja jhaveri Comedy Romance
428,ramleela,kiran,havish abijeet nanditha raj,Action Romance,ramleela kiran havish abijeet nanditha raj Action Romance
429,surya vs surya,karthik ghattamaneni,nikhil siddharth tanikella bharani tridha choudhary,Romance Drama,surya vs surya karthik ghattamaneni nikhil siddharth tanikella bharani tridha choudhary Romance Drama
430,naakaithe nachindi,trinadh kosuru,sri balaji soni charistha rishika jairath krishna,un_known,naakaithe nachindi trinadh kosuru sri balaji soni charistha rishika jairath krishna un_known
431,anandam malli modalaindi,akash,jai akash jiya khan alekhya thagubothu ramesh,un_known,anandam malli modalaindi akash jai akash jiya khan alekhya thagubothu ramesh un_known
432,tommy,raja vannemreddy,rajendra prasad seetha deepak mumtaj suresh raghu babu,Comedy,tommy raja vannemreddy rajendra prasad seetha deepak mumtaj suresh raghu babu Comedy
433,thappatadugu,sri aarun,surya teja naveena jackson lakshman surabhi,un_known,thappatadugu sri aarun surya teja naveena jackson lakshman surabhi un_known
434,calling bell,panna royal,ravi verma mamatha rahuth vriti khanna kishore jeeva chanti shankar venu,un_known,calling bell panna royal ravi verma mamatha rahuth vriti khanna kishore jeeva chanti shankar venu un_known
435,tungabhadra,srinivas gogineni,adith arun dimple chopade,Drama,tungabhadra srinivas gogineni adith arun dimple chopade Drama
436,yevade subramanyam,nag ashwin,nani vijay deverakonda malavika nair ritu varma,Adventure Comedy Drama,yevade subramanyam nag ashwin nani vijay deverakonda malavika nair ritu varma Adventure Comedy Drama
437,janda pai kapiraju,samuthirakani,nani amala paul ragini dwivedi tanikella bharani,Action Romance Thriller,janda pai kapiraju samuthirakani nani amala paul ragini dwivedi tanikella bharani Action Romance Thriller
438,rey,yvs chowdary,sai dharam tej saiyami kher shraddha das tanikella bharani,un_known,rey yvs chowdary sai dharam tej saiyami kher shraddha das tanikella bharani un_known
439,jil,radha krishna,gopichand raashi khanna kabir duhan singh harish uthaman,Action,jil radha krishna gopichand raashi khanna kabir duhan singh harish uthaman Action
440,avunu 2,ravi babu,harshvardhan rane poorna ravi babu sanjjanaa nikita thukral,Horror,avunu 2 ravi babu harshvardhan rane poorna ravi babu sanjjanaa nikita thukral Horror
441,s/o satyamurthy,trivikram srinivas,allu arjun upendra samantha nithya menen sneha adah sharma prakash raj rajendra prasad,Drama Action,s/o satyamurthy trivikram srinivas allu arjun upendra samantha nithya menen sneha adah sharma prakash raj rajendra prasad Drama Action
442,budugu,manmohan,lakshmi manchu indraja sridhar sana indu vani,Mystery Thriller,budugu manmohan lakshmi manchu indraja sridhar sana indu vani Mystery Thriller
443,varadhi,kartikeya,kranthi sri divya,un_known,varadhi kartikeya kranthi sri divya un_known
444,noothi lo kappalu,chanti gnamami,rajendra prasad pari singh,un_known,noothi lo kappalu chanti gnamami rajendra prasad pari singh un_known
445,kai raja kai,siva ganesh,josh ravi maanas ram khanna shravya shamili,un_known,kai raja kai siva ganesh josh ravi maanas ram khanna shravya shamili un_known
446,dohchay,sudheer varma,naga chaitanya kriti sanon brahmanandam rao ramesh,Action Crime Comedy,dohchay sudheer varma naga chaitanya kriti sanon brahmanandam rao ramesh Action Crime Comedy
447,dongaata,vamsi krishna,lakshmi manchu adivi sesh brahmanandam pragathi,un_known,dongaata vamsi krishna lakshmi manchu adivi sesh brahmanandam pragathi un_known
448,rajahmundry ki 50 km duramloo,vijay surya,hemanth nairuthi,un_known,rajahmundry ki 50 km duramloo vijay surya hemanth nairuthi un_known
449,dagudumootha dandakor,r.k malineni,rajendra prasad sara arjun ravi prakash,un_known,dagudumootha dandakor r.k malineni rajendra prasad sara arjun ravi prakash un_known
450,lion,satyadeva,nandamuri balakrishna trisha krishnan radhika apte prakash raj,Comedy,lion satyadeva nandamuri balakrishna trisha krishnan radhika apte prakash raj Comedy
451,dhee ante dhee,srinivasa rao,srikanth sonia mann posani krishna murali brahmanandam,un_known,dhee ante dhee srinivasa rao srikanth sonia mann posani krishna murali brahmanandam un_known
452,mosagallaku mosagadu,an bose,sudheer babu nandini rai abhimanyu,Action Comedy Crime,mosagallaku mosagadu an bose sudheer babu nandini rai abhimanyu Action Comedy Crime
453,365 days,rgv,nandoo anaika soti,Romance,365 days rgv nandoo anaika soti Romance
454,pandaga chesko,gopichand malineni,ram rakul sonal chauhan brahmanandam sampath raj abhimanyu singh,Romance Drama Family,pandaga chesko gopichand malineni ram rakul sonal chauhan brahmanandam sampath raj abhimanyu singh Romance Drama Family
455,andhra pori,raj mudiraju,akash puri ulka gupta,un_known,andhra pori raj mudiraju akash puri ulka gupta un_known
456,asura,krishna vijay,nara rohit priya banerjee,Romance Action Thriller,asura krishna vijay nara rohit priya banerjee Romance Action Thriller
457,singam 123,akshat sharma,sampoornesh babu,un_known,singam 123 akshat sharma sampoornesh babu un_known
458,jyothi lakshmi,puri jagannadh,charmy kaur,Romance Drama,jyothi lakshmi puri jagannadh charmy kaur Romance Drama
459,lava kusa,jay,varun sandesh richa panai babu mohan brahmanandam,un_known,lava kusa jay varun sandesh richa panai babu mohan brahmanandam un_known
460,kerintha,kiran,sumanth sri divya tejaswi,un_known,kerintha kiran sumanth sri divya tejaswi un_known
461,krishnamma kalipindi iddarini,r. chandru,sudheer babu nanditha m.s. narayana saptagiri,Drama Romance,krishnamma kalipindi iddarini r. chandru sudheer babu nanditha m.s. narayana saptagiri Drama Romance
462,tippu,jagadish,karthik kanika chalapathi rao krishna bhagavan,Romance Action,tippu jagadish karthik kanika chalapathi rao krishna bhagavan Romance Action
463,vinavayya ramayya,prasad,anvesh kruthika prakash raj brahmanandam,Drama Romance,vinavayya ramayya prasad anvesh kruthika prakash raj brahmanandam Drama Romance
464,jadoogadu,yogie,naga shourya sonarika ajay kota srinivasa rao saptagiri,un_known,jadoogadu yogie naga shourya sonarika ajay kota srinivasa rao saptagiri un_known
465,tiger,anand,sundeep kishan seerat kapoor rahul ravindran,Crime Drama,tiger anand sundeep kishan seerat kapoor rahul ravindran Crime Drama
466,where is vidya balan,srinivas,prince sethi,un_known,where is vidya balan srinivas prince sethi un_known
467,superstar kidnap,a.sushanth reddy,nandu aadarsh balakrishna bhupal poonam kaur,un_known,superstar kidnap a.sushanth reddy nandu aadarsh balakrishna bhupal poonam kaur un_known
468,bāhubali: the beginning,s.s. rajamouli,prabhas rana tamannaah anushka shetty satyaraj ramya krishnan nassar,Action Drama,baahubali: the beginning s.s. rajamouli prabhas rana tamannaah anushka shetty satyaraj ramya krishnan nassar Action Drama
469,james bond,sai kishore macha,allari naresh sakshi chaudhary,Documentary,james bond sai kishore macha allari naresh sakshi chaudhary Documentary
470,mirchi lanti kurradu,jayanag,abijeet pragya jaiswal,un_known,mirchi lanti kurradu jayanag abijeet pragya jaiswal un_known
471,srimanthudu,koratala siva,mahesh babu shruti haasan jagapathi babu mukesh rishi rajendra prasad sampath raj harish uthaman,un_known,srimanthudu koratala siva mahesh babu shruti haasan jagapathi babu mukesh rishi rajendra prasad sampath raj harish uthaman un_known
472,cinema choopistha mava,trinadha rao nakkina,raj tarun avika gor,un_known,cinema choopistha mava trinadha rao nakkina raj tarun avika gor un_known
473,kick 2,surender reddy,ravi teja rakul preet singh ravi kishan kabir duhan singh ashish vidyarthi brahmanandam rajpal yadav,Action Adventure Crime,kick 2 surender reddy ravi teja rakul preet singh ravi kishan kabir duhan singh ashish vidyarthi brahmanandam rajpal yadav Action Adventure Crime
474,best actors,arun pawar,nandu madhurima madhunandan kesha varshini soundaryarajan,un_known,best actors arun pawar nandu madhurima madhunandan kesha varshini soundaryarajan un_known
475,dynamite,deva katta,manchu vishnu pranitha subhash j. d. chakravarthy,Comedy,dynamite deva katta manchu vishnu pranitha subhash j. d. chakravarthy Comedy
476,bhale bhale magadivoy,maruthi,nani lavanya tripathi murali sharma,Romance Comedy,bhale bhale magadivoy maruthi nani lavanya tripathi murali sharma Romance Comedy
477,courier boy kalyan,premsai,nithiin yami gautam,Action Romance,courier boy kalyan premsai nithiin yami gautam Action Romance
478,ketagadu,un_known,tejus kancherla chandini chowdary,un_known,ketagadu un_known tejus kancherla chandini chowdary un_known
479,subramanyam for sale,harish shankar,sai dharam tej regina cassandra adah sharma brahmanandam,Family Comedy Romance,subramanyam for sale harish shankar sai dharam tej regina cassandra adah sharma brahmanandam Family Comedy Romance
480,chandrika,yogesh,jayram karthik kamna jethmalani srimukhi girish karnad satyam rajesh,Romance Drama,chandrika yogesh jayram karthik kamna jethmalani srimukhi girish karnad satyam rajesh Romance Drama
481,shivam,srinivas reddy,ram raashi khanna abhimanyu singh,Thriller,shivam srinivas reddy ram raashi khanna abhimanyu singh Thriller
